id,source_project_url,last_update_source,forks,url_fork,last_update_fork,commits_behind
36,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/todaysky1234/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
37,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/TuskAW/jetson-cloudnative-demo,on 20 May 2020,This branch is 2 commits behind NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
38,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/unitypetefromlondon/jetson-cloudnative-demo,on 20 May 2020,This branch is 2 commits behind NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
39,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/wenjoyu/jetson-cloudnative-demo,on 20 May 2020,This branch is 2 commits behind NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
40,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/wpf19911118/jetson-cloudnative-demo,on 20 May 2020,This branch is 2 commits behind NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
41,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/zhangjiwei-japan/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
42,"https://github.com/AIIAL/HIAS
",on 11 Sep 2021,10,https://github.com/AdamMiltonBarker/hias-core,on 11 Sep 2021,This branch is 1 commit behind leukaemiamedtech/hias-core:master.
43,"https://github.com/AIIAL/HIAS
",on 11 Sep 2021,10,https://github.com/amirunpri2018/HIAS,on 11 Oct 2020,This branch is 76 commits behind leukaemiamedtech/hias-core:master.
44,"https://github.com/AIIAL/HIAS
",on 11 Sep 2021,10,https://github.com/Anoop14591/hias-core,on 11 Sep 2021,This branch is up to date with leukaemiamedtech/hias-core:master.
45,"https://github.com/AIIAL/HIAS
",on 11 Sep 2021,10,https://github.com/aria1991/hias-core,on 11 Sep 2021,This branch is up to date with leukaemiamedtech/hias-core:master.
46,"https://github.com/AIIAL/HIAS
",on 11 Sep 2021,10,https://github.com/avi33tbtt/HIAS,on 28 Apr 2020,This branch is 185 commits behind leukaemiamedtech/hias-core:master.
47,"https://github.com/AIIAL/HIAS
",on 11 Sep 2021,10,https://github.com/jlopezalo/HIAS,on 6 May 2020,This branch is 167 commits behind leukaemiamedtech/hias-core:master.
48,"https://github.com/AIIAL/HIAS
",on 11 Sep 2021,10,https://github.com/majedrifat/HIAS,on 7 Jun 2020,This branch is 146 commits behind leukaemiamedtech/hias-core:master.
49,"https://github.com/AIIAL/HIAS
",on 11 Sep 2021,10,https://github.com/Nitin-Mane/HIAS,on 24 Oct 2020,This branch is 49 commits behind leukaemiamedtech/hias-core:master.
50,"https://github.com/AIIAL/HIAS
",on 11 Sep 2021,10,https://github.com/Specktroman/HIAS,on 3 Sep 2020,This branch is 117 commits behind leukaemiamedtech/hias-core:master.
51,"https://github.com/AIIAL/HIAS
",on 11 Sep 2021,10,https://github.com/Techspire/HIAS,on 3 Sep 2020,This branch is 117 commits behind leukaemiamedtech/hias-core:master.
52,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/4vikt/rdbox,on 28 Sep 2021,This branch is up to date with rdbox-intec/rdbox:master.
53,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/AlexandreBarral/rdbox,on 27 Feb 2020,This branch is 59 commits behind rdbox-intec/rdbox:master.
54,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/awsassets/rdbox,on 12 May 2020,This branch is 48 commits behind rdbox-intec/rdbox:master.
55,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/Bdjdsv74/rdbox,on 28 Sep 2021,This branch is up to date with rdbox-intec/rdbox:master.
56,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/Zvshda632/rdbox,on 28 Sep 2021,This branch is up to date with Bdjdsv74/rdbox:master.
57,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/casimirrex/rdbox,on 1 Sep 2020,This branch is 32 commits behind rdbox-intec/rdbox:master.
58,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/cloud-robotics/rdbox,on 22 Mar 2019,This branch is 129 commits behind rdbox-intec/rdbox:master.
59,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/cozy884/rdbox,on 28 Sep 2021,This branch is up to date with rdbox-intec/rdbox:master.
60,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/fudekun/rdbox,on 24 Jul 2019,"This branch is 4 commits ahead, 104 commits behind rdbox-intec/rdbox:master."
61,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/fukuta-tatsuya-intec/rdbox,on 14 Feb 2020,"This branch is 8 commits ahead, 64 commits behind rdbox-intec/rdbox:master."
62,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/GertKanter/rdbox,on 22 Mar 2019,This branch is 129 commits behind rdbox-intec/rdbox:master.
63,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/hamstick/rdbox,on 17 Mar 2021,This branch is 16 commits behind rdbox-intec/rdbox:master.
64,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/higuchi-toshio-intec/rdbox,on 11 Jun 2019,This branch is 114 commits behind rdbox-intec/rdbox:master.
65,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/horacezh/rdbox,on 18 Dec 2020,This branch is 20 commits behind rdbox-intec/rdbox:master.
66,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/intfrr/rdbox,on 21 Feb 2020,This branch is 60 commits behind rdbox-intec/rdbox:master.
67,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/JobsLj/rdbox,on 27 Feb 2020,This branch is 59 commits behind rdbox-intec/rdbox:master.
68,"https://github.com/rdbox-intec/rdbox
",on 28 Sep 2021,39,https://github.com/julian533/rdbox,on 12 May 2020,This branch is 48 commits behind rdbox-intec/rdbox:master.
